dataset_name;projection_name;n_components;trustworthiness;continuity;shepard_correlation;normalized_stress
AirQuality;AE;2;0.98247550;0.99492987;0.92077243;5.56779345
AirQuality;AE;3;0.99578271;0.99765039;0.87927055;4.29659181
AirQuality;DM;2;0.93925453;0.98710172;0.94674411;0.25062762
AirQuality;DM;3;0.93927067;0.98704115;0.94694997;0.24808482
AirQuality;F-ICA;2;0.94081036;0.99207183;0.97109171;0.95802845
AirQuality;F-ICA;3;0.95751392;0.99160052;0.93948357;0.94836101
AirQuality;FA;2;0.72535650;0.93214142;0.51261542;1.69263860
AirQuality;FA;3;0.89303717;0.98290563;0.77093396;2.68892028
AirQuality;G-RP;2;0.88311222;0.97828863;0.87154216;0.12057036
AirQuality;G-RP;3;0.93474948;0.99098930;0.90158767;0.09082280
AirQuality;H-LLE;2;0.88541701;0.96562056;0.80570363;0.98525821
AirQuality;H-LLE;3;0.93316717;0.97193658;0.80845800;0.98214002
AirQuality;I-PCA;2;0.94094099;0.99197848;0.97080899;0.04960183
AirQuality;I-PCA;3;0.95224527;0.99387350;0.97094606;0.01738593
AirQuality;ISO;2;0.92277502;0.98872141;0.02565712;0.57370918
AirQuality;ISO;3;0.94186551;0.99200077;0.05377893;0.53545936
AirQuality;K-PCA-P;2;0.94128381;0.99117437;0.96769216;0.20028520
AirQuality;K-PCA-P;3;0.95675462;0.99402911;0.96842312;0.15963980
AirQuality;K-PCA-R;2;0.94031419;0.99229047;0.96782687;0.47673755
AirQuality;K-PCA-R;3;0.95447437;0.99309999;0.96718527;0.43109788
AirQuality;K-PCA-S;2;0.94166259;0.99254753;0.96621737;0.77850229
AirQuality;K-PCA-S;3;0.96348993;0.99384729;0.96748195;0.76075506
AirQuality;L-LTSA;2;0.64297477;0.88596834;0.12691006;0.99678669
AirQuality;L-LTSA;3;0.68474177;0.91644394;0.02462609;0.99056427
AirQuality;L-MDS;2;0.94142460;0.99208714;0.97064106;0.05051136
AirQuality;L-MDS;3;0.96136084;0.99413369;0.97049362;0.01755701
AirQuality;LE;2;0.93206998;0.97449764;0.69429216;0.99877453
AirQuality;LE;3;0.95240881;0.99050788;0.68522258;0.99846215
AirQuality;LLE;2;0.91391233;0.94966086;0.74133510;0.96510970
AirQuality;LLE;3;0.91582332;0.95119871;0.70248667;0.95884804
AirQuality;LPP;2;0.85653905;0.94262532;0.84528260;0.99720531
AirQuality;LPP;3;0.88440117;0.96481172;0.89600590;0.99681074
AirQuality;LTSA;2;0.55587629;0.58443220;-0.01976538;0.99573397
AirQuality;LTSA;3;0.52610946;0.52290831;-0.05265443;0.99332709
AirQuality;M-LLE;2;0.78672175;0.92122229;0.77562165;0.98929367
AirQuality;M-LLE;3;0.82333185;0.94519600;0.79399964;0.98425141
AirQuality;MDS;2;0.96462450;0.98621326;0.98237352;0.01266501
AirQuality;MDS;3;0.99033477;0.99209819;0.99286892;0.00361889
AirQuality;N-MDS;2;0.51636638;0.50423211;-0.01160655;0.46226563
AirQuality;N-MDS;3;0.51999834;0.50335776;-0.01213086;0.41980153
AirQuality;NMF;2;0.93555839;0.99095619;0.96717828;0.89109155
AirQuality;NMF;3;0.94486035;0.98314609;0.76476546;0.82443815
AirQuality;PCA;2;0.94080419;0.99208358;0.97113638;0.05085911
AirQuality;PCA;3;0.95811422;0.99405648;0.97100800;0.01728369
AirQuality;S-PCA;2;0.94002293;0.99165970;0.96962938;0.05803385
AirQuality;S-PCA;3;0.95379254;0.99408865;0.96571148;0.02303419
AirQuality;S-RP;2;0.91049231;0.98811757;0.87171531;0.14743423
AirQuality;S-RP;3;0.96135913;0.99502367;0.90436342;0.13590958
AirQuality;SPE;2;0.95263951;0.97398535;0.97671752;0.30437918
AirQuality;SPE;3;0.98446262;0.99246958;0.99201262;0.29788203
AirQuality;T-SVD;2;0.93791737;0.99134996;0.96835409;0.06745630
AirQuality;T-SVD;3;0.95311647;0.99411736;0.96989252;0.01830108
AirQuality;TSNE;2;0.99895422;0.99618122;0.59555964;2496.01205618
AirQuality;TSNE;3;0.99937115;0.99652761;0.52571572;2428.72031843
AirQuality;UMAP;2;0.99393333;0.99562837;0.78312131;224.40699005
AirQuality;UMAP;3;0.99737558;0.99792160;0.84102760;166.24865464
CityPollution;AE;2;0.96203501;0.97284716;0.69475328;16.75993295
CityPollution;AE;3;0.98154129;0.98234501;0.81055013;2.20246778
CityPollution;F-ICA;2;0.93097095;0.99128115;0.92301846;0.96701184
CityPollution;F-ICA;3;0.97268225;0.99608014;0.88061485;0.95972681
CityPollution;FA;2;0.89487762;0.98534614;0.84972955;4.25780203
CityPollution;FA;3;0.96648720;0.99549145;0.87658453;6.60309187
CityPollution;G-RP;2;0.88753649;0.97761751;0.73589267;0.14240251
CityPollution;G-RP;3;0.92011588;0.98823460;0.75048402;0.11027922
CityPollution;H-LLE;2;0.50430827;0.73407864;0.06085505;0.99893196
CityPollution;H-LLE;3;0.64594008;0.87855107;0.31940452;0.99873250
CityPollution;I-PCA;2;0.93093572;0.99233348;0.95181534;0.03821106
CityPollution;I-PCA;3;0.97294956;0.99764567;0.98176949;0.01438162
CityPollution;ISO;2;0.93483000;0.99270167;0.94518387;0.59322065
CityPollution;ISO;3;0.97579371;0.99729747;0.96491537;0.67675332
CityPollution;K-PCA-P;2;0.93114208;0.99236171;0.95241479;0.23194548
CityPollution;K-PCA-P;3;0.97341572;0.99765830;0.98119272;0.19756075
CityPollution;K-PCA-R;2;0.93065460;0.99232963;0.94923668;0.39358341
CityPollution;K-PCA-R;3;0.97310183;0.99765967;0.98073952;0.36164282
CityPollution;K-PCA-S;2;0.92986892;0.99222372;0.94892192;0.70102563
CityPollution;K-PCA-S;3;0.97233460;0.99762633;0.97937779;0.68373906
CityPollution;L-LTSA;2;0.57427378;0.93693984;0.06872779;0.98606968
CityPollution;L-LTSA;3;0.79545182;0.98597155;0.55581102;0.97275383
CityPollution;L-MDS;2;0.93061961;0.99231387;0.95149025;0.03836357
CityPollution;L-MDS;3;0.97279097;0.99764017;0.98169028;0.01442026
CityPollution;LLE;2;0.84200354;0.93801837;0.46483624;0.98187483
CityPollution;LLE;3;0.90821502;0.94913747;0.49901600;0.97765124
CityPollution;LPP;2;0.86233221;0.98318079;0.79598999;0.99742769
CityPollution;LPP;3;0.90251944;0.99376969;0.81553330;0.99677590
CityPollution;LTSA;2;0.73255412;0.90344335;0.47790617;0.99678648
CityPollution;LTSA;3;0.69493022;0.77858517;0.18910108;0.99547681
CityPollution;M-LLE;2;0.93460637;0.97703928;0.79975781;0.97589381
CityPollution;M-LLE;3;0.83868926;0.88806314;0.34990652;0.99783660
CityPollution;NMF;2;0.85980332;0.98569728;0.82425705;0.84024507
CityPollution;NMF;3;0.95496531;0.99508809;0.88768912;0.80659188
CityPollution;NPE;2;0.82109549;0.98290401;0.77743605;0.98458015
CityPollution;NPE;3;0.90586321;0.99327427;0.81920506;0.98283522
CityPollution;PCA;2;0.93095898;0.99232401;0.95164997;0.03827156
CityPollution;PCA;3;0.97297933;0.99765759;0.98178170;0.01436252
CityPollution;S-PCA;2;0.92985971;0.99226365;0.95060510;0.04099296
CityPollution;S-PCA;3;0.97214206;0.99747790;0.97848189;0.01825816
CityPollution;S-RP;2;0.84872592;0.98336098;0.78725069;0.17585200
CityPollution;S-RP;3;0.92890752;0.99168418;0.85343440;0.08042797
CityPollution;T-SVD;2;0.86054836;0.98764032;0.84451076;0.11212456
CityPollution;T-SVD;3;0.95853860;0.99712715;0.95852247;0.02675047
CityPollution;TSNE;2;0.99804228;0.98806253;0.84937728;3789.54261471
CityPollution;TSNE;3;0.99927761;0.99245687;0.83715653;4056.93753390
CityPollution;UMAP;2;0.97059721;0.99359653;0.88706274;120.33352797
CityPollution;UMAP;3;0.99096424;0.99706469;0.89345028;84.96993620
Concrete;AE;2;0.98485053;0.97570216;0.45555862;19.56058413
Concrete;AE;3;0.99164379;0.98912915;0.61802482;13.61327420
Concrete;DM;2;0.91048075;0.97954958;0.74496854;0.78699586
Concrete;DM;3;0.97943689;0.99139688;0.82356357;0.76740302
Concrete;F-ICA;2;0.94059880;0.98218195;0.72822271;0.87266466
Concrete;F-ICA;3;0.97774857;0.99169034;0.83661931;0.84080862
Concrete;FA;2;0.87246614;0.95746571;0.51876777;1.83053470
Concrete;FA;3;0.94409343;0.98186877;0.73593895;3.15649603
